"scientificName","Ecology","Biology","Dispersal"
"Amblycheila baroni Rivers, 1890","Ecology. Stenotopic, saxicolous, xerophilous, pholeophilous, crepuscular, epigean-fossorial (adult), fossorial (larva). Woodland (juniper, oak) canyons and craggy montane peaks: base of cliffs and boulders. Somewhat shaded ground, dry rocky soil. Larval habitat: A woodland canyon. Crepuscular: hides during the day in self constructed burrows, rodent burrows, rarely under large stones or logs. Gregarious.","Biology. Seasonality: June, July (mostly), September. Third-instar larvae: July. Adult food, in the laboratory: tenebrionid adults and larvae, drosophilid flies, and other insects. Larval food, in the laboratory: tenebrionid larvae. Larval parasites: bombyliid flies. Defense mechanism: Retreating to deep rocky fissures when disturbed. Best collected by bait trapping or pitfall trapping.","Dispersal power. Subapterous. Slow runner."
"Amblycheila cylindriformis (Say, 1823)","Ecology. Eurytopic, steppicolous, xerophilous, pholeophilous, myrmecophilous, crepuscular, epigean-fossorial (adult), fossorial (larvae). Banks, cliffs, gullies, ravines, ditches, and river bluffs Situated in hilly prairies, grasslands, cultivated lands, and pastures. Open ground, sloping, well-drained, dry, clayey (rarely sandy or rocky), bare or sparsely vegetated soil. Adults tend to walk at night in the vicinity of animal burrows or mesquite clumps, near the bases of or along the sides of clay banks. Larval habitat: Dry, clay banks and cliffs, often near mammal burrows, larval burrows (35-97.5 cm deep) nearly vertical for about 45 cm, turning to a subhorizontal position in their lower part, each larval colony limited to a 25 cm radius and usually consisting of 2 to 11 individuals. Nocturnal, mostly crepuscular, occasionally active on warm cloudy afternoons, usually hiding in the daytime and on cold days in self-constructed burrows, rodent burrows (gopher, kangaroo rat, badger), rattlesnake burrows, ant mounds, sometimes in yucca clumps and under stones or other objects, larva coming near the soil surface after sundown or earlier on cloudy days. Associated species: Pasimachus (carabids) and Eleodes (tenebrionids).","Biology. Seasonality: May-September. in KS, mostly June. Summer species. Mating: May. Oviposition: Groups of one to two dozen eggs deposited near the soil surface. Third-instar larvae: May and August. Omnivorous, predaceous, necrophagous. Adult food, in the field: caterpillars, acridid nymphs, cerambycids, scarabaeids, tenebrionids, ants, spiders, dead insects, carrion, and dried yucca petals. Noise of individuals shredding yucca petals can be heard at quite a distance. Adults sometimes cannibalistic. Adult food, in the laboratory: caterpillars, locusts, other insects, and fresh meat. Larval food, in the field: Ants and other insects (e.g., an adult Cicindela). Sight very poor. Predators: skunks, birds, and spiders. Defense mechanism: immediately retreating underground when emerging from its burrow and seeing movement; making no attempt to escape when disturbed outside of its burrow; sometimes delivering a painful bite when captured. Best collected with a flashlight in the earliest part of a warm, calm evening or by baiTier pitfall trapping. Not shy.","Dispersal power. Subapterous. Slow runner. When on the move, raising body very high and keeping the antennae in constant motion. Note. Before it was known to be nocturnal, the species was considered a rarity and commonly valued at 15 to 20 dollars each; for instance, the type of the beetle was sold for $300 by Thomas Say, and the second specimen, captured about 20 years later, was purchased for $50. By trading several hundreds specimens of this valuable tiger beetle as high as 25 dollars each, the well-known Professor F.H. Snow of the University of Kansas at Lawrence, the discoverer of its favorite haunt, was able both to consolidate an important general beetle collection at his university, and provide his collecting students a substantial amount of money to cover their university expenses for a whole year. As soon as the nocturnal habits of this species became known to the public, the price immediately went down to 50 cents per specimen."
"Amblycheila hoversoni Gage, 1991","Ecology. Stenotopic, silvicolous, psammophilous, pholeophilous, nocturnal, epigean- fossorial (adult). Mostly scrublands; also rangelands. Mostly shaded ground; well-drained, moist or dry, sandy soil mixed with silt and clay. Nocturnal; active after midnight; hiding during the day in animal burrows and leaf litter.","Biology. Seasonality: April-November, except June. Predaceous. Adult food, in the field: adult and larvae of camel crickets, spiders, and other arthropods. Adult food, in the laboratory: caterpillars, crickets, beetles, millipedes, and centipedes. Predators: various birds.","Dispersal power. Subapterous. Slow runner."
"Amblycheila picolominii Reiche, 1839","Ecology. Stenotopic, xerophilous, saxicolous, epigean. Rocky areas. Open ground; bare, dry, rocky soil. Nocturnal; seen active at dusk.","Biology. Seasonality: April-July.","Dispersal power. Subapterous. Slow runner."
"Cicindela macra macra LeConte, 1857","Ecology. Eurytopic, riparian, hygrophilous, psammophilous, halotolerant, thermophobous, epigean (adult); fossorial (larva). Mostly sand bars, banks, and flats along large rivers; also brook banks, pond and lake shores, pool edges, salt flats and salt marshes; occasionally on roads in July-August. Close to the water's edge. Open ground; moist, sandy, sometimes saline, bare soil occasionally mixed with mud or silt. Larval habitat: lake shore, in well-drained, moist sand with little or no humus; shallow burrows smooth at their edges, similar to those of C. hirticollis hirticollis. Both diurnal and nocturnal; hides from the hot sunshine in the shade of stones, sticks, and in soil fissures; observed at night resting on beach debris and on herbaceous vegetation at the base of foredunes. Gregarious. Associated species: C. cuprascens.","Biology. Seasonality: May-October, mostly July. Summer species. Mating: July. Adult food, in the field: small insects. Defense mechanism: cryptic coloration - dark body with its pale maculations blends perfectly with the fine sand and bits of driftwood or pebbles lying on bare ground; usually escapes by running instead of flying, but if flying, only for short distances, then easily taken by hand; produces defensive secretions when captured. Not wary. Best collected by hand with a flashlight at night.","Dispersal power. Macropterous. Good flier. Often attracted to artificial lights at night. Moderate runner.",
"Cicindela marginata Fabricius, 1775","Ecology. Eurytopic, coastal, riparian, hygrophilous, halophilous, thermophilous, epigean. Muddy habitats: tidal flats, lagoon edges, mud flats over sandy beaches, flats of stream mouths, margins of ponds near the sea, shores of salt marshes, roads crossing salt marshes, salt meadows. Sandy habitats: ocean beaches, spots between creeks and dunes, upper regions of beaches with coarse sand, hills close to the sea shores of barrier islands. Rocky shoreline. Close to the water's edge. Open ground; wet, saline, bare or sparsely vegetated dark soil usually consisting of mud, sand-mixed mud or organic debris, pure black sand (sometimes) or, more rarely, rock, and sometimes covered with a dense layer of darkened washed-up vegetation. Adults tend to occur on bare mud flats on beaches. Larval habitat: a sea beach, a short distance back from the shoreline; burrows (22.5-25 cm deep) dug into open, sandy, sparsely vegetated soil. Both diurnal (mostly) and nocturnal; quite active and abundant during the hottest part of the day. Solitary or occurring in small numbers. Associated species: C. hirticollis hirticollis, C. dorsalis dorsalis, C. dorsalis media, and C. trifasciata ascendens.","Biology. Seasonality: February-September, mostly June-July; in SC, May-September . Summer species. Mating: July. Oviposition, in the laboratory: in the mud, about 3 mm below the ground surface, in July. Tenerals: June. Predaceous. Adult food, in the field: a tab~nid fly. Larval food, in the laboratory: small ants. Larval parasites: bombyliid flies. Defense mechanism: cryptic coloration- body color pattern blends perfectly with the darkest parts of its surroundings; takes wing readily when pursued, even from a distance of 5 m, flies not so rapidly, sometimes out over the water before landing again on the bare, wet sand further up the shore or hiding in the high or thick grass (e.g., Spartina) where it sometimes climbs. Very wary. Very difficult to approach in the daytime. Best captured with a flashlight .at night.","Dispersal power. Macropterous. Strong flier. Attracted to artificial lights at night. Fast runner. Conservation status. Threatened species, almost extinct from its original distribution (e.g., in New England). Threatened because of coastal development, recreational land-use, and perhaps pesticide spraying to control mosquitoes in salt marshes.",
"Cicindela marginipennis Dejean, 1831","Ecology. Stenotopic, riparian, epigean (adult); fossorial (larva). River islands: cobblestone beaches, gravel bars, gravel spits; sometimes sandy bars and sandy river banks. Closely associated with turbulent water. Open ground; soil consisting of cobblestones, pebbles or coarse gravel, sometimes with small patches of sand, bare or sparsely vegetated. Adults tend to occur on the median area of island shorelines, on stones surrounded by sparse vegetation. Larval habitat: near the interior of a cobblestone island; burrows dug into the sand between cobblestones. Adult and larva able to survive spring flooding. Diurnal; active at least between I :00 P.M. and 4:00 P.M .. Gregarious, occurs in swarms, sometimes by the hundreds.","Biology. Seasonality: May-September; mostly July (NJ). Summer species. Tenerals: July. Mating: August. Defense mechanism: cryptic coloration - body color pattern blends perfectly with its surroundings; takes wing readily when disturbed; when netted, escapes easily by crawling under the rim of the net, taking advantage of the uneven surface of the cobblestone beach. Wary. Difficult to approach.","Dispersal power. Macropterous. Good flier. Fast runner. Conservation status. Threatened species. Extinct from many historic localities due to pollution and dam construction.",
"Cicindela marutha Dow, 1911","Ecology. Eurytopic, riparian, hygrophilous, halotolerant, thermophilous, epigean (adult); thermophobous, fossorial (larva). Edges of temporary or permanent ponds, reservoirs, alkaline lakes, shallow streams, drainage ditches; seepages from springs and cattle watering tanks; salt flats, wet spots near rivers, marshy grasslands, alkaline flats, and dirt roads near irrigated fields. Sometimes occurring several hundred meters from the water's edge, for example in sandy ridges and sand dunes. Adults tend to occur on be~ches ?r s~lt flats. Open ground; wet, muddy, sometimes sa~dy, salme sml :with bare areas or vegetated with grass. Larval habitat: hot sandy ndges and sand dunes; burrows (third-instar, 18.8-45 cm deep, 31.5 cm on average) scattered or aggregated, dug into hot, dry, fine sand, through sparse, low vegetation. Both diurnal and nocturnal; mostly active in summer in early morning ( 10:00-11 :00 A.M.) and late aftemoon (3:00-4:00 P.M.); foraging, stilting, and shuttling to shade at 31.1°C, 37°C, and 37.2°C respectively (AZ); oviposition done at night; larva active most of the time, but closes its burrow on summer days, then becomes active only at night. Mean mimmum thoracic temperature for coordinated walking, in the laboratory: 14.4oC. Gregarious. Associated species: C. nigrocoerulea nzgrocoerulea, C. sedecimpunctata sedecimpunctata, C. pimeriana, C. obsoleta santaclarae, C. praetextata erronea, C. fulgida fulgida, and C. nevadica knausii.","Biology. Seasonality: June-September; mostly July. Adult e~ergence. at the beginning of summer rains. Summer species. Duration of life cycle: 2-4 years. Mating: during courtship: a ridi~g male .may often be attacked by a single larger male attemptmg to displace It; contactguarding by male quite common. Oviposition: in sand dunes, sometimes at a distance of more than I km from pond edges. Predaceous. Adult food, in the field: ants. Adult food, in the laboratory: beetles or drosophilid flies. Larval foo~,. in .the laboratory: springtails, tenebrionid larvae or drosophilid flies. Predators: spiders. Larval parasites: bombyliid flies and tephrid wasps. Defense mechanism: escapes by a quick, erratic flight. Quite wary. Difficult to approach. Best captured with a flashlight at night.","Dispersal power. Macropterous. Excellent flier. Long-distance disperser. Often attracted to artificial lights at night. Fast runner",
"Cicindela nebraskana Casey, 1909","Ecology. Eurytopic, halotolerant, epigean (adult); fossorial (larva). Grassland-forest transitions and parklands (ponderosa pinebunchgrass): small openings, trails, paths, dirt roads, roadside ditches, bank areas, hillsides, fields, and alkali flats; also short-grass plains. Open ground; heavy, clayey, sometimes alkaline soil. Adults tend to occur in bare areas between clumps of grass and earth mounds built by ground squirrels. Larval habitat: Burrows short, each with a funnel-like opening. Diurnal; quite active between 9:00 A.M. and 3:00 P.M. Associated species: C. purpurea audubonii, C. tranquebarica tranquebarica, C. longilabris perviridis, and C. decemnotata.","Biology. Seasonality: March-September. Spring-fall species (CO, AB). Summer species (NE). Mating: July-August. Tenerals: September; sexual maturity reached the following spring, after hibernation. Mating: interspecific copulation observed with C. longilabris perviridis. Defense mechanism: cryptic coloration - blackish body with reduced pale elytral maculations blends with surrounding dark soil; when pursued, moves through the grass or escapes by slowly flying, vertically at first and then horizontally to a distance of 3 to 10 m from its starting point. Moderately wary. Easy to capture.","Dispersal power. Macropterous. Good flier. Fast runner. Quite active.",
"Cicindela nevadica citata Rumpp, 1977","Ecology. Stenotopic, riparian, hygrophilous, psammophilous, halophilous, epigean. Salt flats and beaches: along ponds, lakes, and playas. Open ground; wet, sandy, saline soil. Both diurnal and nocturnal.","Biology. Seasonality: July-September, less common in September.","Dispersal power. Macropterous. Attracted to artificial lights at night. Fast runner. Conservation status. Rare subspecies.",
"Cicindela nevadica knausii Leng, 1902","Ecology. Stenotopic, riparian, hygrophilous, halophilous, epigean (adult); fossorial (larva). Edges of temporary or permanent ponds, lakes, pools, rivers, brooks, and ditches; sand bars, salt flats, salt marshes; small salty spots in pastures and fields. Close to the water's edge. Open ground; moist or wet, muddy (mostly) or sandy, often saline, bare or sparsely vegetated soil. Adults prefer open, sparsely vegetated spots on beaches and salt flats. Larval habitat: among the vegetation in the vicinity of hummocks; margins of small flats; sloping brook banks; burrows (third instar, 22-35 cm deep) dug into saline soil. Both diurnal and nocturnal; in the daytime, once observed going in and out of the cracks of mud cakes along a pool edge (MT). Gregarious, occurs in large numbers. Associated species: C. circumpicta johnsonii, C. fulgida fulgida, C. nigrocoerulea nigrocoerulea, and C. togata globicollis.","Biology. Seasonality: June-August. Summer species. Mating: JulyAugust. Defense mechanism: cryptic coloration - body color blends with its surroundings; escapes by short flights when pursued. Easy to capture with a net. Teratology: An individual (OK) with the left antenna divided in two from the fourth segment onward. Best collected with a black light or a flashlight.","Dispersal power. Macropterous. Good flier. Attracted to artificial lights at night. Fast runner. Observed wading through shallow water.",
"Cicindela nevadica lincolniana Casey, 1916","Ecology. Stenotopic, riparian, hygrophilous, halophilous, epigean. Shores of brook and lakes, edges of drainage ditches, roadside ditches, and remnant salt marshes. Open ground; moist or wet, muddy (mostly) or sandy, saline soil. Diurnal; seen active in early morning.","Biology. Seasonality: May-July. Summer species, mostly in early summer. Mating: June. Tenerals: June. Adults often stop to drink water on hot days.","Dispersal power. Macropterous. Fast runner. Conservation status. Subspecies threatened by the draining and filling of salt marshes.",
"Cicindela nevadica nevadica LeConte, 1875","Ecology. Stenotopic, riparian, hygrophilous, halophilous, epigean. Banks and flats along stream and drainage ditches. Close to the water's edge. Open ground; moist or wet, muddy, saline soil. Both diurnal and nocturnal. Associated species: C. hemorrhagica hemorrhagica.","Biology. Seasonality: April-August, rare in June. Defense mechanism: when pursued, escapes by frequent short flights from one side of a stream to the other. Very wary. Difficult to approach.","Dispersal power. Macropterous. Good flier. Attracted to artificial lights at night. Fast runner.",
"Cicindela nevadica olmosa Vaurie, 1951","Ecology. Eurytopic, riparian, hygrophilous, halophilous, epigean. Alkali flats, salt flats, tidal flats; edges of ponds, lakes, and brooks. Close to the water's edge. Open ground; wet, whitish or grayish, alkaline, bare or .sparsely vegetated soil consisting of fine sand, silt or clay. Both diUrnal and nocturnal. Associated species: C. circumpicta circumpicta, C. togata togata, C. ocellata rectilatera, C. pamphila, and C. hamata manti.","Biology. Seasonality: June-October; less common in SeptemberOctober. Best captured with a black light or a flashlight.","Dispersal power. Macropterous. Attracted to artificial lights at night. Conservation status. Rare subspecies.",
"Cicindela nevadica tubensis Cazier, 1939","Ecology. Stenotopic, riparian, hygrophilous, epigean. Stream banks; shores of lakes and reservoirs. Close to the water's edge. Open ground; moist soil consisting of mud or sandstone. Diurnal.","Biology. Seasonality: June-August. Defense mechanism: cryptic coloration - coppery red body blends with the sandstone deposits of stream beds; usually takes wing when approached, but easily captured if approached carefully.","Dispersal power. Macropterous. Good flier. Fast runner.",
"Cicindela nigrior Schaupp, 1884","Ecology. Stenotopic, psammophilous, epigean (adult); fossorial (larva). Upland situations. Open ground; dry, sparsely vegetated soil consisting of well-packed sand, containing much clay. Larval habitat: Burrows. Diurnal. Gregarious.","Biology. Seasonality: June, September-October. Fall species. Mating and Oviposition: in the fall. Duration of larval stages: apparently 1 year. Defense mechanism: escapes by flight and lands near or among the vegetation where it tends to shelter; reluctant to fly and often collected by hand. Not wary.","Dispersal power. Macropterous. Good flier. Fast runner.",
"Cicindela nigrocoerulea bowditchi Leng, 1902","Ecology. Stenotopic, hygrophilous, halophilous, epigean. Salt flats and alkali flats. Open ground; wet, muddy, often saline soil. Adults tend to occur in bare areas or among grass bordering flats. Diurnal; seen active between 9:00 A.M. and noon. Associated species: C. terricola cinctipennis.","Biology. Seasonality: July-October, mostly July. Summer species. Defense mechanism: escapes by a quick flight and then lands to hide in the shade of the low vegetation when pursued.","Dispersal power. Macropterous. Good flier. Fast runner.",
"Cicindela nigrocoerulea nigrocoerulea LeConte, 1848","Ecology. Eurytopic, steppicolous, hygrophilous, halophilous, epigean (adult); fossoria1 (larva). Grasslands, pastures, cultivated fields (alfalfa, sugar beet), mountain slopes, roads, roadside ditches, irrigation ditches, pond and reservoir edges, grassy marshlands, small wet spots, muddy spots, desert areas, salt flats, playas, and open places in forests. Adult tending to occur in grasslands, along the edge of the vegetation. Open ground; moist or wet (rarely dry), muddy, often alkaline, bare or sparsely vegetated (grass or weeds) soil. Larval habitat: burrows dug into grasslands. Both diurnal and nocturnal; daily foraging lasts about 7 hours; basking, foraging, stilting, and shuttling to shade at 29.1 °C, 35.6°C, 36.4°C, and 38.4°C respectively in AZ. Mean minimum thoracic temperature for coordinated walking, in the laboratory: 17.8°C. Numerous individuals found in late morning under dried cow patties (AZ). Gregarious, occurs in swarms. Associated species: C. punctulata punctulata, C. praetextata erronea, C.pimeriana, C. obsoleta santaclarae, C. sedecimpunctata sedecimpunctata, C. marutha, C. fulgida fulgida, C. nevadica knausii, C. obsoleta obsoleta, and C. togata globicollis.","Biology. Seasonality: June-October, mostly July-August. Summer species. Mating: July. Predaceous. Adult food, in the laboratory: beetles and flies; able to survive about 30 days without food. Defense mechanism: often flies readily or runs into the grass when pursued, hence extremely difficult to approach; emits a fruity scent when captured.","Dispersal power. Macropterous. Good flier. Attracted to artificial lights at night. Fast runner.",
